sentence_id,sentence,context,topic,label,#positive,#negative,sentence_internal_id,val,test
143,"Both of these are terrible options that are far more likely if the cartel has no other option, the cartel has huge infrastructure, put in place to smuggle goods into the united states and will continue these paths","The cartels will shift to another option another product if we legalize coke receiving a cook and cannabis, they could lead, they could start to sell hard drugs were often moved to things like human trafficking  Both of these are terrible options that are far more likely if the cartel has no other option, the cartel has huge infrastructure, put in place to smuggle goods into the united states and will continue these paths  ",We should legalize cannabis,0,0,3,188,FALSE,TRUE
144,We think this is happened to an extent with marijuana already in pop culture,"You know, things are perceived to be social goods  We think this is happened to an extent with marijuana already in pop culture  ",We should legalize cannabis,0,0,3,143,FALSE,TRUE
145,And given that this is the case we think that the state should exist to maximize people's ability to you to gain you told to gain benefits from the state that they existed,The reason for this is because people don't have the choice to opt into the state people have the choice of the society that breeds them with that sars that they have  And given that this is the case we think that the state should exist to maximize people's ability to you to gain you told to gain benefits from the state that they existed  ,We should ban cosmetic surgery,0,0,3,561,TRUE,FALSE
146,"But on average, we say that generally eighteen is significantly higher maturity age, especially since at that point, you're becoming an adult and a lot of other ways that you're graduating high school, all of these things are changing your life for a sixteen year old hasn't even come close to dealing with","People can be more mature at times  But on average, we say that generally eighteen is significantly higher maturity age, especially since at that point, you're becoming an adult and a lot of other ways that you're graduating high school, all of these things are changing your life  for a sixteen year old hasn't even come close to dealing with",We should lower the age of consent,1,2,1,1789,FALSE,TRUE
147,"So we think that ultimately strong men like or like middle eastern shakes who rely on oil or forced to be more aggressive when you undermine the oil revenue and that this will be to international instability, which is a tremendous harm of this policy server these for reasons we would not subsidize bio fuels","So what that means is the people you actually put pressure on our putin in particular, the russians in general we saw that in the past the invasion of crimea was partly driven because putin needed to shore up his position as a leader because oil prices had fallen so the economy wasn't doing well  So we think that ultimately strong men like or like middle eastern shakes who rely on oil or forced to be more aggressive when you undermine the oil revenue and that this will be to international instability, which is a tremendous  harm of this policy server these for reasons we would not subsidize bio fuels",We should subsidize biofuels,0,1,2,99,FALSE,TRUE
148,"All the time we think that individuals should have to brighten the ability to choose how they're going to present themselves, things like tattoos and piercings in certain instances, art it's an expression of who you are it's a signal to the rest of the world about who you are as an individual and it's the first thing that people learn about you and understand about you given that this is the case we think that this can be done in a very empowering matter in which people can change the way they appear and things that nine them and maybe their problems, their body, the issues they have shouldn't exist","It gives an agency over how they're going to present themselves to the world in given that people judge other people based on their body  All the time we think that individuals should have to brighten the ability to choose how they're going to present themselves, things like tattoos and piercings in certain instances, art it's an expression of who you are it's a signal to  the rest of the world about who you are as an individual and it's the first thing that people learn about you and understand about you given that this is the case we think that this can be done in a very empowering matter in which people can change the way they appear and things that nine them and maybe their problems, their body, the issues they have shouldn't exist",We should ban cosmetic surgery,0,1,2,567,FALSE,TRUE
149,"Our first point is that if you ban fraternities, you drive the bad behavior off campus where it is actually more difficult to monitor","We have three arguments for our side for why fraternity should be allowed to continue and exist at universities  Our first point is that if you ban fraternities, you drive the bad behavior off campus where it is actually more difficult to monitor  ",We should ban fraternities,1,3,0,1221,FALSE,TRUE
150,We think that we would rather use methods that are going to do in the future of our planet that I'm going to do in future societies,We simply do not think it is necessary nor do we think it is worthwhile to x point further unconventional oil  We think that we would rather use methods that are going to do in the future of our planet that I'm going to do in future societies  ,We should further exploit unconventional oil,0,0,3,463,FALSE,TRUE
151,"It doesn't mean that women are going to end up being like, like just because the abortion happened","And that could result in people then I can result in abortions happening leader in terms than normal, and that doesn't necessarily mean that the choice to get an abortion is an illegitimate choice because just because it's happening a few weeks or a few months later, doesn't mean that women's rights of their autonomy and it doesn't mean that the impact that motherhood is going to have that women's light is any less extreme  It doesn't mean that women are going to end up being like, like just because the abortion happened  ",We should ban partial birth abortions,0,0,3,9,FALSE,TRUE
152,"We would say that it is important that students do get out there and run, and that there probably is some just cases where students are told that they need to lose weight","Students are made to feel uncomfortable out their body is the culture around gym teachers in the united states is one where they harass students on a day to day basis about their fitness  We would say that it is important that students do get out there and run, and that there probably is some just cases where students are told that they need to lose weight  ",Physical education should be mandatory,1,2,1,1303,FALSE,TRUE
153,And that means that I actually am entitled to the existence of this to the ownership over this thing that I created that,I actually utilize my own labor and time and resources and money or whatever  And that means that I actually am entitled to the existence of this to the ownership over this thing that I created that  ,We should abolish intellectual property rights,1,2,1,758,FALSE,TRUE
154,I think a good example of this is roads or sidewalks things that are important for us getting from point a to point b,Our third independent point is the public resources are good that there are things that we should all have equal access to because they're facilitative to basic quality of life  I think a good example of this is roads or sidewalks things that are important for us getting from point a to point b  ,We should adopt libertarianism,0,0,3,242,FALSE,TRUE
155,"Thirdly, alice says there's imbalance in ACA, and some of the countries are rich, some of them are poor, and that creates tensions","We think the a s c, a n is exactly that unifying factor by signing these agreements by signing these accords, they are actively creating a unifying factor, something that if they win, they all when and if they lose, they all lose this is the way that countries unite together regardless of history, we think that's a great unifying factor  Thirdly, alice says there's imbalance in ACA, and some of the countries are rich, some of them are poor, and that creates tensions  ",We should disband ASEAN,1,3,0,1647,TRUE,FALSE
156,"And finally, we think that physical education and physical education classes are honestly traumatic for many individuals students are regularly bullied in these classes","We think that the purpose of school is to teach students things they could not wanting to elsewhere and physical education is certainly not something that schools need to teach third  And finally, we think that physical education and physical education classes are honestly traumatic for many individuals students are regularly bullied in these classes  ",Physical education should be mandatory,1,3,0,1301,FALSE,TRUE
157,"Okay, so what's important to recognize is that, in addition to not lowering the age of consent, you can also create an age of consent that is high but isn't done in a core or callous fashion","So we would say that eighteen some high and and if you if we were to forced to do you draw a line to draw a line, we think that is the one that we draw  Okay, so what's important to recognize is that, in addition to not lowering the age of consent, you can also create an age of consent that is high but isn't done in a core or callous fashion  ",We should lower the age of consent,0,0,3,1723,FALSE,TRUE
158,"So what they had was a plurality of votes, but not necessarily a majority of votes, which is what a popular vote would require","But when you have something like the electoral college, you force parties to be more broad because they know the winner takes all system is going to swoop in, and so they have to actually appeal to a wider majority of individual people as well wilson again enhances cohesiveness because it because have forces them to go to like the majority of states are secondary of clash, has to do with how the old fool college creates a clear winner because let's go back to the election with nixon where you end up in a situation where on the fort were both major candidates had earned forty percent around a field of the popular vote  So what they had was a plurality of votes, but not necessarily a majority of votes, which is what a popular vote would require  ",We should abolish the US Electoral College,0,0,3,1476,TRUE,FALSE
159,"So a principle justification so right in the end of the previous speakers speech he says something about people needing to have a ministry and ill intention in order to break the law, but that is also not precisely the case we say that there are some laws that don't require in the line, intense, namely negligence laws, and we think that this is very similar to this case we're going to justify HBO's as something akin to negligence in cases of negligence you can be criminally liable for your actions because you failed to meet the standards that society where the court for that matter define as the standard of the reasonable person","And so I could know exactly how you must behave in order, not to break the law let's move on over to the positive  So a principle justification so right in the end of the previous speakers speech he says something about people needing to have a ministry and ill intention in order to break the law, but that is also not precisely the case  we say that there are some laws that don't require in the line, intense, namely negligence laws, and we think that this is very similar to this case we're going to justify HBO's as something akin to negligence in cases of negligence you can be criminally liable for your actions because you failed to meet the standards that society where the court for that matter define as the standard of the reasonable person",We should abolish anti-social behavior orders,0,0,3,1137,FALSE,TRUE
160,"So why is there no information asymmetry in this instance, we think, first of all, the children know who probably speaking that exercise is good for them, even from a very young age what's more","And this is what we heard from the last speaker about as well we're going to propose a slightly different standard, though, we think that the state should do something for people when there is an imbalance in power or information that the state needs to correct war when there are harms to third parties and I'll explain in a minute way, I don't think that the objective good is a proper standard  So why is there no information asymmetry in this instance, we think, first of all, the children know who probably speaking that exercise is good for them, even from a very young age what's more  ",Physical education should be mandatory,0,1,2,1274,FALSE,TRUE
161,"The only thing that we're truly defending is a strict age of consent at eighteen year, olds eighteen years old to me, there is of clash the first on the promotion of centralization of youth by these kinds of loss","We don't think that we have to do this in the dumb way up is open to adjustments in laws, not persecuting people who are within two years of each other or other similar kinds of adjustments  The only thing that we're truly defending is a strict age of consent at eighteen year, olds eighteen years old to me, there is of clash the first on the promotion of centralization of youth by these kinds of loss  ",We should lower the age of consent,0,0,3,1706,FALSE,TRUE
162,"So what happens now is that you have younger children going out and getting cosmetic surgery, recognize that oftentimes parents will want their kids to perform in beauty pageants, or there are like racial stereotypes, individuals want to avoid like model of surgeries","So if I had a really bad experience with that surgeon, I can do things like tell other people about it because in the status quo it's legal and then that surgeon gets put out of business, but when you have a black market, you can't acknowledge those kinds of things exist in you have less services, competing itself, competing with each other for being a good service  So what happens now is that you have younger children going out and getting cosmetic surgery, recognize that oftentimes parents will want their kids to perform in beauty pageants, or there are like racial stereotypes, individuals want to avoid like model  of surgeries",We should ban cosmetic surgery,0,0,3,618,FALSE,TRUE
163,"So I think the status quo is perfectly capable of solving for the harms that are described by side government right, but I don't even more fundamental level","So combination is something that is deserving of a of an ownership claim but also recognize that the most blatant examples of this like, say sampling for example, in music do require you to actually pay money to the person that initially created the things like a lot of the time, the way we combine things requires payments to those who came before us  So I think the status quo is perfectly capable of solving for the harms that are described by side government right, but I don't even more fundamental level  ",We should abolish intellectual property rights,0,0,3,756,FALSE,TRUE
164,"And this means we are going to have to continue on lowering the age of consent, more and more","This takes time this means that as our children are not really physically ready to have sex, this this social norm is increasingly becoming more and more open to the to the idea that they are with every passing generation  And this means we are going to have to continue on lowering the age of consent, more and more  ",We should lower the age of consent,0,0,3,1699,FALSE,TRUE
165,"And if women can be empowered by the system, if they can take control of the system that exists in empower themselves through it, we think that's a positive thing","Well, like it might be something that we wouldn't want people to validate themselves through it's, not entirely bad that people choose to do this, if it's something that is able to empower themselves  And if women can be empowered by the system, if they can take control of the system that exists in empower themselves through it, we think that's a positive thing  ",We should ban beauty contests,0,1,2,857,FALSE,TRUE
166,"These are things that a large amount of people are simply under informed about look at places that are even developed countries such as the united states, their huge walls of the united states that don't understand safe sex that don't have adequate sexual education that don't understand how to adequately defend yourself against stds giving people an additional an additional amount of years to learn about this information to do their own investigation into their sexual","The other thing that a higher agents and sent us is that it makes people increases the amount of time before someone is likely to become sexually active because there are repercussions to their sexual acts and therefore gives more time for them to learn about things such as safe sex and stds  These are things that a large amount of people are simply under informed about look at places that are even developed countries such as the united states, their huge walls of the united states that don't understand safe sex that don't  have adequate sexual education that don't understand how to adequately defend yourself against stds giving people an additional an additional amount of years to learn about this information to do their own investigation into their sexual",We should lower the age of consent,0,0,3,1729,FALSE,TRUE
167,These third party harms are fundamentally unacceptable and are not a meaningful benefit when compared to the arguments I thought opponent gets quite simply age based restrictions exist on a variety of fronts certain rights are given to the parents,"We say the people showing up to work drunk can cause mass discomfort can cause them to lose their job and put a stain on their resume from the very beginning, quite simply  These third party harms are fundamentally unacceptable and are not a meaningful benefit when compared to the arguments I thought opponent gets quite simply age based restrictions exist on a variety of fronts certain rights are given to the parents  ",We should lower the drinking age,0,0,3,411,FALSE,TRUE
168,"And we don't think the government has the right to ban these things unless they can show that put hurdles mistrust of I'd like we live in a country that values protecting individual freedom, even when they think that the decision that person is making might be bad for themselves or for society","What we mean by this is that we we see that individuals who offer cosmetic surgery are unlikely to be harmed by the majority of the time  And we don't think the government has the right to ban these things unless they can show that put hurdles mistrust of I'd like we live in a country that values protecting individual freedom, even when they think that the decision  that person is making might be bad for themselves or for society",We should ban cosmetic surgery,1,3,0,510,TRUE,FALSE
169,"So when you drastically roll back the government and people start dying of easily preventable illnesses, and there are no public schools and people are starving, all of us will be responsible for that it is an act of aggression, not to have a large and generous social safety net","This doesn't make any sense all right, there is no distinction between action and inaction if I'm walking down the road and I see a man having a heart attack and I don't call the police, I am as responsible for his death as I would have been if I had pulled out a gun and shot him the man died because of my choice, the fact that I chose to do nothing doesn't change anything  So when you drastically roll back the government and people start dying of easily preventable illnesses, and there are no public schools and people are starving, all of us will be responsible for that it is an act of aggression, not  to have a large and generous social safety net",We should adopt libertarianism,1,3,0,223,FALSE,TRUE
170,"In other words, we should want men and women to be equally capable of making their own choices","We don't think that you should ban this one thing and uniquely but what's more implicit in many of the arguments of the other side is that it is anti feminist to have beauty pageants, but we would advance a conception of feminism in which by making their own choices about how to live their lives, even if women choose to participate in patriarchal power structures, they're empowering themselves and that they should be the end goal of feminism  In other words, we should want men and women to be equally capable of making their own choices  ",We should ban beauty contests,1,2,1,873,FALSE,TRUE
171,"So all the first argument that it reduces the incentive to create, I think this is hinted at in god's arguments where they are like all will, you know, some people say that I think people set up for a pretty good reason right, like we're recognize it like if you are a person producing medicine like if you are a pharmaceutical company, you just don't have an incentive to create that medicine because you're investing billions of dollars into it","And thirdly, that international competition will likely punish countries that do this to an extreme extent  So all the first argument that it reduces the incentive to create, I think this is hinted at in god's arguments where they are like all will, you know, some people say that I think people set up for a pretty  good reason right, like we're recognize it like if you are a person producing medicine like if you are a pharmaceutical company, you just don't have an incentive to create that medicine because you're investing billions of dollars into it",We should abolish intellectual property rights,1,2,1,746,FALSE,TRUE
172,"And if they do not believe that a conflict is worth it, then they ought not be obligated to send their money and their troops to that conflict","We think that even if it makes it harder to regularly these larger countries, it is true that these larger countries individually provide more money to the u n any of the smaller countries what this means is that they are effectively buying their ability to choose where that money goes  And if they do not believe that a conflict is worth it, then they ought not be obligated to send their money and their troops to that conflict  ",We should abolish the United Nations Security Council veto power,0,0,3,1545,FALSE,TRUE
173,But we also think that for people who live in politically repressive countries such as many arab countries that this is uniquely valuable,"So we think that for this reason alone, it would be sufficient to say that ultimately people ought to be able to post anonymously online because it gives people who don't have a voice other one is a unique opportunity to speak their mind without fearing backlash  But we also think that for people who live in politically repressive countries such as many arab countries that this is uniquely valuable  ",We should ban anonymous posts,0,1,2,1326,FALSE,TRUE
174,"So the state then it becomes necessary to solve information asymmetries, the third principle is protection of innocence","This fundamentally is the reason why other more obvious crimes like save murder or theft or a legal because even if the theft is something that I personally find pleasurable, the person being robbed, probably doesn't enjoy it that much, but we also think regulation is necessary because of information asymmetry is, for example, labeling on out food might be something of an inconvenience for food producers, but because people can't be expected to just offhand the ingredients in a twinkie, we think it's necessary to allow people to have conf informed consent that is be capable of making rational decisions themselves by giving them the information needed  So the state then it becomes necessary to solve information asymmetries, the third principle is protection of innocence  ",We should adopt libertarianism,0,0,3,258,TRUE,FALSE
175,I think that the government would point out to you that cosmetic surgery is involved in a large series of norms that are problematic to the average person that they perpetuate body problem,  I think that the government would point out to you that cosmetic surgery is involved in a large series of norms that are problematic to the average person that they perpetuate body problem  ,We should ban cosmetic surgery,1,3,0,550,FALSE,TRUE
176,"Because when they talk about patent trolls are price gouging, or anything like that dot easy with the terminal harm of that one hundred percent of the time is just not accessing the medicine","And then, as soon as you like, actually put this thing on the market someone's going to release a knock off of it like steel up like half of your market share, possibly more and you're the one that has to burn the entire cost of production in the first place you literally don't make enough money to make up for the initial expenditures that allow you to engage in the production of this medicine, that's really important  Because when they talk about patent trolls are price gouging, or anything like that dot easy with the terminal harm of that one hundred percent of the time is just not accessing the medicine  ",We should abolish intellectual property rights,0,0,3,748,FALSE,TRUE
177,"And because of that, we think it needs to be weighed that culture needs to be weighed incredibly important","The very beginning of this debate is that it has been a cultural institution within the communities that practices such as spain, portugal and parts of southern france for hundreds of years, fighting's tied in with the cultural identity of these regions, deep way it has been part of festivals and celebrations of triumphs and of the history of these people in the culture of these people for hundreds of years  And because of that, we think it needs to be weighed that culture needs to be weighed incredibly important  ",Bullfighting should be banned,0,1,2,1056,FALSE,TRUE
178,"Most recently in the financial sector, with two thousand the two thousand eight financial crisis","This is been seen throughout history  Most recently in the financial sector, with two thousand the two thousand eight financial crisis  ",We should adopt libertarianism,0,0,3,276,TRUE,FALSE
179,"And second, I think that intellectual properties are important to ensure that we are it she's positive outcomes that we maximize innovation and we maximize creation up things that people value from and people appreciate so what's more by talking about the rights claims that we have here, I think it's important to note that if you create a song or if you write a book or if you come up with a work of art or a logo or anything like that, these are things that you created there are no different than saying he I if you spend your money on a plot of land or on a house or something like that","  And second, I think that intellectual properties are important to ensure that we are it she's positive outcomes that we maximize innovation and we maximize creation up things that people value from and people appreciate so what's more by talking about  the rights claims that we have here, I think it's important to note that if you create a song or if you write a book or if you come up with a work of art or a logo or anything like that, these are things that you created there are no different than saying he I if you spend your money on a plot of land or on a house or something like that",We should abolish intellectual property rights,1,3,0,798,FALSE,TRUE
180,"So ultimately, we think it's time that we believe these people that something is wrong and try to do something to help them rather than just say, oh, well, you should just avoid this person it's ridiculous to put the burden to avoid someone on someone who's been a victim and moreover, for some of these behavior orders that affect property, it might literally be impossible to keep someone out of your property if you don't have this legal protection","But our second argument is that it's time that we believe victims, yes, someone somewhere is probably falsely reporting some incident in order to get an anti social behavior order in order to hurt their enemy or someone that they don't like, but the vast preponderance of these are filed by people who really need the state's protection, many of the people filing for a restraining orders in the US, for instance, are women who have been sexually harassed or abused by a previous a boyfriend or girlfriend  So ultimately, we think it's time that we believe these people that something is wrong and try to do something to help them rather than just say, oh, well, you should just avoid this person it's ridiculous to put the burden  to avoid someone on someone who's been a victim and moreover, for some of these behavior orders that affect property, it might literally be impossible to keep someone out of your property if you don't have this legal protection",We should abolish anti-social behavior orders,0,0,3,1181,FALSE,TRUE
181,And so this is like a very big problem because it doesn't necessarily represent what the smaller states require,"This leaves very small states on involved in uninformed about current proceedings, it would disproportionately fall on farming states, especially for example, ohio in iowa on our like less populated, but relatively large states be, but they would like completely golden nord without the electoral college, because in the end, they don't have very large metropolitan cities and cities contain the majority of people it also with this like crystallizes than into is a world in which you're never going to get pro agriculture or like pro I'm more into like taxes passed, selected a centrally always have democrat pretty much because cities always folk blue  And so this is like a very big problem because it doesn't necessarily represent what the smaller states require  ",We should abolish the US Electoral College,0,0,3,1472,FALSE,TRUE
182,The reason why the government is a better actor in many cases them private actors is because there's democratic control over the government,"So first, why is libertarianism undemocratic sam essentially tells you that under libertarianism, you drastically reduce the size of government and turn over control to private actors  The reason why the government is a better actor in many cases them private actors is because there's democratic control over the government  ",We should adopt libertarianism,1,3,0,213,FALSE,TRUE
183,"If you want people to be creative, then you need to offer them some sort of reward to incentivize them to develop those skills so were fewer people have unique skills in a world where you don't allow intellectual property rights","And the last thing I'd like to talk about is why we need to reward people for creativity in the first place  If you want people to be creative, then you need to offer them some sort of reward to incentivize them to develop those skills so were fewer people have unique skills in a world where you don't allow intellectual property rights  ",We should abolish intellectual property rights,1,3,0,822,FALSE,TRUE
184,"I think gov tries to preempt this by being like the black market has more gateway opportunities because the nature of the transaction I think you can just wait this out with the scope of consumption that more people smoke on their side houses result, you get more gateway activity on their side of the house","Insurance companies under, you know, things like pre existing condition, lawson, like right to choose laws and things like that cannot deny people covered all the bases that they smoke pot that's important because it means the premiums go up because there are more things that some insurance companies have to solve for when you have to internalize the harms that are created on the public health network by the people who are smoking pot, it disproportionately likely to have medical complications society at large has to bear those burdens because of the increased premiums you have to get the money from somewhere and fifth is that it is a gateway drug  I think gov tries to preempt this by being like the black market has more gateway opportunities because the nature of the transaction I think you can just wait this out with the scope of consumption that more people smoke on  their side houses result, you get more gateway activity on their side of the house",We should legalize cannabis,0,1,2,170,FALSE,TRUE
185,You have a lot more on animal life in the area like in shallow waters,"Not right, but also often times, though, like places where wind turbines are most effective where it's windiest are on the light are by the ocean, or by the water leases where ecosystems are often times more fragile, like you may have like reese there  You have a lot more on animal life in the area like in shallow waters  ",We should further exploit wind power,0,0,3,1045,FALSE,TRUE
186,"I don't think though that they reconcile with the intense suffering that is created by the realization of these high level, philosophical ideas, proud to oppose","Look, I I understand the sort of philosophical justifications that are given by government  I don't think though that they reconcile with the intense suffering that is created by the realization of these high level, philosophical ideas, proud to oppose  ",We should adopt libertarianism,0,0,3,247,TRUE,FALSE
187,It means that you have more people larger labor attentional to draw from which means that businesses in these nations can get more qualified levers for whatever job that they're trying to solve,It also means that more labor resources are available to all countries within usually have this this isn't just skill but also unskilled labor  It means that you have more people larger labor attentional to draw from which means that businesses in these nations can get more qualified levers for whatever job that they're trying to solve  ,We should disband ASEAN,0,1,2,1593,TRUE,FALSE
188,So we think that animal rights exist on most standards that of of deserves right that excludes animals are often arbitrary and internally contradictory,  So we think that animal rights exist on most standards that of of deserves right that excludes animals are often arbitrary and internally contradictory  ,We should further exploit wind power,0,0,3,984,FALSE,TRUE
189,So every comment that people make to a facebook profile or something similar to online comments you a bridge that freedom of speech we see that this is already acknowledged by courts around the world to the point that doc sing the practice of releasing someone's personal information without their permission is a crime or has been banned in many jurisdictions,We think that ultimately people in almost every country in the world are guaranteed the ability to speak their mind when you require someone to attach their name and face such as by linking  So every comment that people make to a facebook profile or something similar to online comments you a bridge that freedom of speech we see that this is already acknowledged by courts around the world to the point that doc sing  the practice of releasing someone's personal information without their permission is a crime or has been banned in many jurisdictions,We should ban anonymous posts,0,1,2,1358,FALSE,TRUE
190,We should abolish the security council veto in the status quo,  We should abolish the security council veto in the status quo  ,We should abolish the United Nations Security Council veto power,0,0,3,1480,FALSE,TRUE
191,"It is good if their names and shame because they can continue to get through the day, even though this punishment has occurred","If someone is too loud on a nightly basis, it's not good, if they're hit with a huge fine, which makes it impossible for them to continue living in  It is good if their names and shame because they can continue to get through the day, even though this punishment has occurred  ",We should abolish anti-social behavior orders,0,1,2,1153,FALSE,TRUE
192,"We also just think that the person can make the money calculus themselves did he spends awhile talking about how this is so expensive and that money is better spent elsewhere, but we just don't think he gets to assert that as something that is factually accurate for everybody like if you're someone who isn't into other things like cosmetic surgeries, all you want and that's all you would be spending this money on then that's reasonable right, like that's your personal preference, and we should support that decision","This is a decision that people make independently, and obviously if someone was forcing the cosmetic surgery by another person that's something that both sides of the debate think is dot right, like that's something that we also looked down upon  We also just think that the person can make the money calculus themselves did he spends awhile talking about how this is so expensive and that money is better spent elsewhere, but we just don't think he gets to assert that  as something that is factually accurate for everybody like if you're someone who isn't into other things like cosmetic surgeries, all you want and that's all you would be spending this money on then that's reasonable right, like that's your personal preference, and we should support that decision",We should ban cosmetic surgery,0,0,3,515,FALSE,TRUE
193,"And we think that not allowing people to do what they desire in restricting their freedom in this sense, is an unfair part of the society","They perpetuate objectives and standards of beauty that are simply harmful to the polity we'd argue is that cosmetic surgery is simply a factor of the society that we live in the desire for people to change their appearance is part of the society that bread those people  And we think that not allowing people to do what they desire in restricting their freedom in this sense, is an unfair part of the society  ",We should ban cosmetic surgery,1,3,0,552,FALSE,TRUE
194,"In other words, there won't be a land war between the US and russia as long as they have the ability to control international acts through the UN security council","This is the reason we live in the most peaceful time in history is that powerful countries around the world are unable to be forced into an untenable position by the international community  In other words, there won't be a land war between the US and russia as long as they have the ability to control international acts through the UN security council  ",We should abolish the United Nations Security Council veto power,1,3,0,1560,FALSE,TRUE
195,"But additionally, we think this will generally just lead to worse relations between states if the one is now a political entity, which is passing horrific policies that will come at it as an object of opposition towards groups like NATO and other international bodies, which seat will see it as a press, seven problematic for this reason we should abolish we should not abolish the security council veto","My second argument is the effect on small states because we believe this will create huge amounts of infighting between smaller states in the united nations as they are now passing policies which have dramatic implications, and they are targeted by the you and they're likely to leave it is unlikely the unlikely that the u n will conduct a large scale ground operations against any state unless they're committing genocide, and as such there is very little risk to leaving if you're being targeted through declarations and hollow threats  But additionally, we think this will generally just lead to worse relations between states if the one is now a political entity, which is passing horrific policies that will come at it as an object of opposition towards groups like NATO  and other international bodies, which seat will see it as a press, seven problematic for this reason we should abolish we should not abolish the security council veto",We should abolish the United Nations Security Council veto power,1,2,1,1495,FALSE,TRUE
196,"So firstly, we think solar power is immensely more preferable to win power","We think that there are two better alternatives in regards to renewable energy sources that we should exploit instead of wind power given the fund abilities and the limits of spending in the status quo  So firstly, we think solar power is immensely more preferable to win power  ",We should further exploit wind power,1,3,0,1025,FALSE,TRUE
197,Second independent argument is that principally people should just have intellectual property rights because they created these things on government,"And as a result, you just lose your infrastructure necessary to create these things  Second independent argument is that principally people should just have intellectual property rights because they created these things on government  ",We should abolish intellectual property rights,1,3,0,752,TRUE,FALSE
198,"So we mean by this is well, this clearly does have to some degree objectify women","This is one of those systems in which women are at least able to express their agencies  So we mean by this is well, this clearly does have to some degree objectify women  ",We should ban beauty contests,1,2,1,851,TRUE,FALSE
199,"So we should really be talking about is a much younger age of consent, and what james is pretending it is don't","  So we should really be talking about is a much younger age of consent, and what james is pretending it is don't  ",We should lower the age of consent,0,0,3,1782,FALSE,TRUE
200,The current subsidies of bio fuel are incredibly inefficient and have generally been opposed,What these bio fuels do is a leech into the environment and bleach and to the environment to the pesticides used to grow them and then cost massive amounts to make in the first place  The current subsidies of bio fuel are incredibly inefficient and have generally been opposed  ,We should subsidize biofuels,1,2,1,112,FALSE,TRUE
201,"First on it, why it's not justified to them recognize that cosmetic surgery, doesn't hurt the people who is were doing it, and it doesn't have any overflow arms right","And for that, there are two main arguments  First on it, why it's not justified to them recognize that cosmetic surgery, doesn't hurt the people who is were doing it, and it doesn't have any overflow arms right  ",We should ban cosmetic surgery,1,3,0,508,FALSE,TRUE
202,The fetus is totally reliant on the woman's body is a parasite,"A fetus is simply a person inside the woman's body in the woman is the one with bodily autonomy, she must have complete autonomy over her body, and that means up until the very minute that the parasite is out for that the fetus is out for she should have complete control over what happens to it until the fetus is delivered state  The fetus is totally reliant on the woman's body is a parasite  ",We should ban partial birth abortions,0,0,3,78,TRUE,FALSE
203,"So ultimately, as long as people could set up an anonymous server in to fall, do or some other tiny country, you won't be able to enforce the laws which makes your government look weak and foolish and ultimately reduces the respect that people have for it","The nature of the internet is that no one country can regulate it  So ultimately, as long as people could set up an anonymous server in to fall, do or some other tiny country, you won't be able to enforce the laws which makes your government look weak and foolish and ultimately reduces the  respect that people have for it",We should ban anonymous posts,1,3,0,1372,FALSE,TRUE
204,"So, we think that the point that you remove that boundary you're going to have these people recently centralizing younger and younger people because this is already the trend that we're moving toward sure I give you one more extreme example","When you remove legality, you create a market already one of the largest porn searches are teen and amateur now you can have actual teens on that screen recognize the only thing stopping industry, such as porn or other, like sexually objectifying TV shows from using very young children is that it's illegal to do  So, we think that the point that you remove that boundary you're going to have these people recently centralizing younger and younger people because this is already the trend that we're moving toward sure I give you one more extreme example  ",We should lower the age of consent,0,1,2,1708,FALSE,TRUE
205,"So it can disrupt like bird migration patterns, and it can kill birds that's, like a widely documented thing and that's not good because birds are important","And the first reason for this is that setting up wind farms is bad for the sub for like habitats of certain animals  So it can disrupt like bird migration patterns, and it can kill birds that's, like a widely documented thing and that's not good because birds are important  ",We should further exploit wind power,1,3,0,1042,FALSE,TRUE
